gap_id,paper_table,affected_scenarios,affected_metrics,gap_type,gap_description,likely_cause,required_fix,priority,can_fix_without_more_paper_input
G01,Table 4-2; Table 4-5,renewable trip scenarios,SLLR/SLFOR/SNVOR/CRI,model_missing,"P_wt(E_k) is still fixed to 1 and actual renewable trip states are not included.","Renewable trip is record_only and does not create outage state transitions.",Implement actual renewable trip state transition and P_wt(E_k).,P0,0
G02,All,all scenarios,SLLR/SLFOR/SNVOR/CRI,model_missing,"P_ge(E_k) is still fixed to 1 and conventional generator outage states are not included.","Conventional generator protection and outage probability model is missing.",Record and implement P_G(q) and conventional generator state transitions.,P0,0
G03,All,line cascade scenarios,SLFOR/CRI,parameter_gap,"Subsequent line outage probability parameters are not calibrated to the thesis.","Current project uses an engineering piecewise outage probability model.",Replace line outage probability with thesis formula and calibrated parameters.,P0,0
G04,All,load shedding states,SLLR/CRI,model_simplification,"Current load shedding is simplified and does not implement thesis OLS.","simple_load_shedding is not equivalent to the thesis optimal load shedding model.",Implement the optimal load shedding model in equations 3-19 to 3-26.,P0,1
G05,Table 4-6,wind speed 11.28/11.52/11.76/12.00,SLLR/SLFOR/SNVOR/CRI,line_only_reproduction_available,"The formal Table 4-6 wind speed points have been rerun, but only under the current line-only model.","P_wt/P_ge, OLS, outage probability parameters, unit scaling, and thesis case data are still not fully aligned.",Use the new Table 4-6 batch as cautious comparison and rerun after model calibration.,P1,1
G06,Table 4-4,centralized_3000mw,CRI,unknown_need_paper,"Centralized access bus is unknown, so current centralized result is unreliable.","Current project uses a calibration assumption and paper_formula is diagnostic_only.",Confirm centralized access bus from the thesis and rerun.,P0,0
G07,All,all scenarios,all metrics,unit_uncertain,"Units/scales between reproduction and paper benchmark are not aligned yet.","Paper benchmark unit is 10^-4 while reproduction raw values are not finally scaled.",Confirm VaR risk-value unit and scaling definition.,P0,0
G08,Table 4-5,penetration scan,all metrics,definition_gap,"Renewable penetration definition still needs confirmation.","Current project uses wind_capacity/base_load and the thesis denominator must be checked.",Confirm penetration definition and update scenarios.,P1,0
G09,All,IEEE39 case,all metrics,data_gap,"Full IEEE39 bus/gen/branch thesis modifications are not confirmed.","Current project keeps MATPOWER case39 reference structure.",Record complete thesis case parameters.,P1,0
G10,All,nonconverged stages,LFOR/NVOR/CRI,method_gap,"Nonconverged-stage handling is an engineering safety rule and thesis rule is unknown.","The project excludes nonconverged PF/PT/VM from LFOR/NVOR to avoid nonphysical contamination.",Confirm thesis handling for nonconvergence or islanding.,P1,0
